,Company/Brand,Amount($),Year of Funding
287,Cancer Clinics,1500000.0,2021
1712,Smart Institute,1500000.0,2020
1185,Mihup,1500000.0,2020
694,Forum for Innovation Incubation Research and Entrepreneurship,1496500.0,2018
997,Ken42,1470000.0,2020
638,FastFox,1460000.0,2018
2083,Wishberry,1460000.0,2018
947,Insurance Samadhan,1450000.0,4042
1674,ShopX,1410000.0,2020
426,Crysta,1403400.0,2020
783,Goodmylk,1400000.0,4041
1888,Toch,1400000.0,4040
417,Credy,1400000.0,2018
1964,Unremot,1400000.0,4042
1236,MyMobiForce,1400000.0,2021
1840,Taskmo,1400000.0,2021
486,DillyHub,1400000.0,2020
165,Backpacker Panda Holidays Private Limited,1400000.0,2018
774,Gobbly,1400000.0,4041
1418,Phool.co,1400000.0,4041
1496,PumPumPum,1353000.0,8082
2189,iNurture,1340000.0,2020
302,Cars24,1328000.0,2020
1018,Knorish,1323000.0,4041
1788,SucSEED,1300000.0,2020
656,Finzy,1300000.0,2018
203,Bikry app,1300000.0,2021
1397,Penny,1300000.0,2020
2137,Zerone,1300000.0,2021
259,Brinton,1300000.0,2020
2116,Yellow Classes,1300000.0,2020
985,Kafqa Academy,1300000.0,2021
1150,McXtra,1300000.0,2018
881,Hyperface,1300000.0,2021
136,Avenues Payments India Pvt. Ltd.,1300000.0,2018
315,Chai Kings,1292000.0,4038
633,Farmers Fresh Zone,1270000.0,4041
2157,Zotalabs,1250000.0,2021
1035,Krimanshi,1220000.0,6060
2120,Yolo,1200000.0,4040
10,5C Network,1200000.0,2020
1157,MedPay,1200000.0,2021
802,Gully Network,1200000.0,2020
1969,Upside AI,1200000.0,2021
1809,SupplyNote,1200000.0,2021
1100,LoanKuber,1200000.0,2021
489,Dista,1200000.0,2021
247,BookingJini,1200000.0,2021
2204,moneyHOP,1200000.0,2021
258,Brila 91,1200000.0,2020
1505,Qandle,1200000.0,2018
1762,StackBOX,1200000.0,2021
1467,Prayaan Capital,1200000.0,2020
228,Blue Sky Analytics,1200000.0,2020
68,Alpha Coach,1200000.0,2021
964,Janani,1200000.0,4041
535,Earth Rhythm,1200000.0,2021
1490,PropReturns,1200000.0,2021
2029,Vogo Rentals,1168000.0,2018
548,Edvizo,1150000.0,4041
707,Freshokartz,1150000.0,4040
244,Bon(Bonfleet Solutions),1138800.0,2018
582,EsportsXO,1100000.0,2021
576,Entropik Technology,1100000.0,2018
963,Jambox Games,1100000.0,2021
519,DusMinute,1100000.0,2021
2161,Zuper,1100000.0,2020
1955,Univariety,1100000.0,2020
8,4Fin,1100000.0,2021
1826,TREAD,1100000.0,2020
1771,StockEdge,1100000.0,2018
1757,Square Off,1100000.0,2018
1865,The Indus Valley,1100000.0,2021
1094,Livehealth,1100000.0,2018
107,Arth Designbuild,1100000.0,2020
720,Fyle,1100000.0,2018
277,CHUPPS,1100000.0,2021
1051,Lal10,1100000.0,2020
1506,Qapita,1080000.0,2020
316,Chai Waale,1070000.0,6061
1719,SmarterBiz,1065000.0,2020
500,Doxper,1051200.0,2018
2183,i3 Systems,1050000.0,2020
1293,Nivesh.com,1038000.0,4038
445,DRIVEU,1022000.0,2018
246,Boodmo,1022000.0,2018
2110,Xtracap,1000000.0,2020
959,Ishitva,1000000.0,2021
1678,Shyplite,1000000.0,2021
1822,Syook,1000000.0,2021
1611,Saarthi Pedagogy,1000000.0,2021
879,HyperXchange,1000000.0,2018
592,Evenflow Brands,1000000.0,4042
306,CashRich,1000000.0,2018
512,Dropshop,1000000.0,2021
1606,STAGE,1000000.0,2020
303,Cash Suvidha,1000000.0,2018
335,CityCash,1000000.0,2020
1218,Moneyboxx Finance,1000000.0,2020
1832,Taikee,1000000.0,2021
1603,SOAL,1000000.0,2020
1869,The Sleep Company,1000000.0,2021
1700,Skymet,1000000.0,2021
2071,WiT-ACE,1000000.0,2021
668,Fixcraft,1000000.0,2021
