Company/Brand,Sector,Stage,Amount ($),HeadQuarter,What it does,Year of Funding,Amount(USD)
Jagaran Microfin,—,Debt Financing,,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,INR
Vivriti Capital,Financial Services,Venture - Series Unknown,,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018, 
Be U Salons,"Apps, Beauty, Consumer, Retail",Seed,,New Delhi,Be U is India's first subscription based Salon Chain.,2018,INR
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018, 
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,INR
Stones2Milestones,"E-Learning, Education, Higher Education",Seed,0.0,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018,NUL
Generico,"Health Care, Medical, Pharmaceutical",Series A,0.0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,NUL
Adiuvo Diagnostics,Health Diagnostics,Seed,0.0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,NUL
DataTrained,"EdTech, Education",Seed,,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,INR
OneAssist,"Financial Services, SaaS, Security",Debt Financing,,Mumbai,OneAssist is a protection & assistance services platform.,2018, 
Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt,,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018, 
APAC Financial Services,"Finance, Financial Services",Private Equity,,Mumbai,APAC Financial Services is a financial services platform.,2018,INR
Moglix,"B2B, E-Commerce, Mobile",Series C,,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018, 
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Venture - Series Unknown,0.0,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,NUL
MadGuy Labs,E-Learning,Venture - Series Unknown,,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018, 
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",Seed,0.0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,NUL
FLEECA,—,Seed,0.0,Jaipur,FLEECA is a Tyre Care Provider company.,2018,NUL
Shop101,"Apps, E-Commerce, Internet",Series B,,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018, 
FeedMyPockets,"Advertising, Human Resources, Marketing",Seed,,Bangalore City,On Demand Staffing Platform,2018,INR
Housejoy,"Beauty, Fitness, Home Services, Internet",Series B,,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018, 
Ambee,"Health Care, Medical Device, Public Safety",Angel,0.0,Bangalore,Ambee is an Environment analytics startup.,2018,NUL
FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed,,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,INR
Ninjacart,"AgTech, B2B, Supply Chain Management",Series B,,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,INR
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed,0.0,New Delhi,Olly is a digital credit card for India's working masses and young people.,2018,NUL
Zestl,Software,Seed,0.0,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,NUL
BYJU’S,"EdTech, Education, Higher Education, Secondary Education",Private Equity,,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018, 
Wakefit,"Manufacturing, Retail",Venture - Series Unknown,,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,INR
Hero Electric,Manufacturing,Venture - Series Unknown,,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,INR
