,Amount($),Year of Funding,Founded,Company/Brand,Sector,Stage,HeadQuarter,What it does,Founders
674,19000000.0,2020,2014,Rivigo,Logistics,Series A,Gurgaon,Rivigo is a technology-enabled logistics platform provider that offers transport services.,"Deepak Garg, Gazal Kalra"
675,3000000.0,2020,2015,ZipLoan,Finance company,Series A,New Delhi,ZipLoan is a online lending platform,"KSHITIJ Puri, Shalabh Singhal"
676,85860249.91073933,2020,2014,Swipez,FinTech,Series A,Pune,Swipez is a payment collection platform.,Vivek Iyer
677,85860249.91073933,2020,2019,Humus,AgriTech,Series A,Bangalore,Farmgate to Retail outlet Agri-Fresh produce supply chain,"Manjunatha T N, Shilpa Gopalaiah"
678,85860249.91073933,2020,2017,Artivatic.ai,Tech company,Series A,Bangalore,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",Layak Singh
679,85860249.91073933,2020,2016,Prescinto,Solar Monitoring Company,Seed,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon"
680,85860249.91073933,2020,2019,Toppeq,SaaS startup,Seed,Mumbai,SaaS-based equity management platform,Nandini Sankar
681,400000.0,2020,2019,Bolo Indya,Video sharing platform,Series A,Gurgaon,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.","Tanmai Paul, Varun Saxena"
682,1000000.0,2020,2017,Bombay Play,Gaming startup,Seed,Bangalore,Bombay Play is a Card and Toy Company Making games for India.,"Abhas Saroha, Oliver Jones, Oliver Jones"
683,85860249.91073933,2020,2015,FreshToHome,E-commerce,Series A,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil
684,85860249.91073933,2020,2020,KIKO TV,Video streaming platform,Seed,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,"Shivam Varshney, Alok Chawla"
685,9000000.0,2020,2012,Atomberg Technologies,Consumer appliances,Series B,Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances","Manoj Meena, Sibabrata Das"
686,21000000.0,2020,2018,DealShare,E-commerce,Series C,Jaipur,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao"
687,85860249.91073933,2020,2015,Smallcase,FinTech,Series A,Bangalore,Changing how India invests in equities,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath"
